latitude,longitude
17.397169255684673,78.48992485070461
17.397216540821557,78.48993337081336
17.397217443217244,78.4899333315305
17.397218277152383,78.48993277408496
17.397218703242906,78.48993184229751
17.39721859325223,78.48993081659971
17.397217980283244,78.48993000568652
17.397217229915718,78.48992967650494
17.397169944778636,78.4899211563971
17.397169052159104,78.48992070825695
17.397168520850446,78.48991983708108
17.397168510755776,78.48991880505935
17.397169024913197,78.48991792278994
17.39716990858143,78.48991745580143
17.397170633872527,78.48991746208961
17.397217919009808,78.48992598219648
17.397218821405485,78.48992594291357
17.397219655340603,78.48992538546801
17.397220081431083,78.48992445368053
17.39721997144037,78.48992342798273
17.397219358471357,78.48992261706958
17.39721860810382,78.489922287888
17.397171322966347,78.48991376778207
17.397170430346794,78.48991331964194
17.39716989903811,78.48991244846609
17.397169888943402,78.48991141644436
17.397170403100787,78.48991053417492
17.397171286768998,78.48991006718637
17.39717201206009,78.48991007347452
17.39721929719777,78.48991859357953
17.397220199593445,78.48991855429658
17.39722103352853,78.48991799685098
17.39722145961898,78.48991706506348
17.397221349628232,78.4899160393657
17.397220736659186,78.48991522845255
17.39721998629164,78.48991489927103
17.397172701153767,78.48990637916695
17.397171808534207,78.48990593102687
17.39717127722549,78.48990505985103
17.39717126713074,78.4899040278293
17.397171781288087,78.48990314555984
17.397172664956273,78.48990267857126
17.397173390247364,78.48990268485937
17.39722067538544,78.48991120496251
17.397221577781114,78.48991116567952
17.39722241171617,78.48991060823388
17.397222837806588,78.48990967644636
17.397222727815794,78.48990865074857
17.397222114846727,78.48990783983545
17.397221364479172,78.48990751065396
17.397174079340893,78.48989899055177
17.397173186721325,78.48989854241171
17.39717265541257,78.4898976712359
17.397172645317788,78.48989663921415
17.397173159475095,78.48989575694468
17.397174043143266,78.48989528995605
17.397174768434354,78.48989529624413
17.39722205357283,78.4899038163454
17.39722295596849,78.48990377706238
17.397223789903528,78.48990321961672
17.397224215993905,78.48990228782917
17.397224106003076,78.48990126213138
17.397223493033973,78.48990045121829
17.39722274266642,78.48990012203683
17.39717545752774,78.48989160193649
17.397174564908152,78.48989115379649
17.39717403359937,78.48989028262068
17.39717402350455,78.48988925059895
17.397174537661822,78.48988836832945
17.397175421329965,78.48988790134078
17.397176146621053,78.48988790762884
17.39722343175993,78.48989642772823
